country,samples,mae,rmse,mape_pct,median_ape_pct,smape_pct,status
China,9,0.0205,0.0227,2.0488,1.5336,4.0976,good
Vanuatu,9,0.0205,0.0227,2.0488,1.5336,4.0976,good
Eritrea,9,0.0209,0.0232,2.0858,1.5336,4.1717,good
Yemen,9,0.0209,0.0232,2.0858,1.5336,4.1717,good
Saint Vincent and the Grenadines,9,0.0221,0.0253,2.2146,1.5336,4.4293,good
Central African Republic,9,0.0272,0.034,2.723,1.5336,5.446,good
Niger,9,0.0328,0.0414,3.2754,2.4524,6.5507,good
Antigua and Barbuda,9,0.0359,0.0479,3.588,2.4524,7.1759,good
Malaysia,9,18.0707,20.9652,8.73,9.7181,8.3781,good
Russia,9,1172.4406,1347.1642,9.1454,8.2735,9.4297,good
Indonesia,9,32.9565,46.7781,15.2593,8.7513,13.3414,good
Japan,9,1224.4127,2210.0033,21.0625,5.8874,14.1202,good
Sao Tome and Principe,9,0.0841,0.1152,8.4101,4.0144,16.8202,good
Austria,9,939.5081,1137.6358,18.8679,15.6938,18.4386,good
Norway,9,8.5656,11.1604,20.2473,9.2789,18.6313,good
Slovenia,9,90.0863,113.1758,20.114,21.9674,22.5132,ok
Djibouti,9,0.1156,0.1556,11.5594,7.2858,23.1189,ok
Antarctica,9,0.1529,0.4278,15.29,1.0461,24.2955,ok
Holy See,9,0.1529,0.4278,15.29,1.0461,24.2955,ok
MS Zaandam,9,0.1529,0.4278,15.29,1.0461,24.2955,ok
N. Korea,9,0.1529,0.4278,15.29,1.0461,24.2955,ok
Winter Olympics 2022,9,0.3294,0.9573,32.945,1.0461,24.2955,ok
Dominica,9,0.1357,0.1594,13.5733,12.1354,27.1466,ok
Chile,9,778.4632,977.3049,24.2854,20.5683,29.1752,ok
Canada,9,0.3149,0.7667,31.4879,6.2738,34.3489,ok
Kosovo,9,7.265,9.6284,272.2738,15.4431,34.715,ok
Bolivia,9,59.4623,90.5822,48.7683,16.9382,35.2563,ok
Sierra Leone,9,0.1783,0.3027,17.8328,4.1398,35.6656,ok
Czechia,9,247.1459,283.1626,61.0884,23.4024,37.029,ok
India,9,154.6394,195.1115,49.9258,40.8386,38.2945,ok
Montenegro,9,16.859,22.8024,607.901,14.0507,38.5606,ok
S. Korea,9,2768.5101,3698.0723,94329.0132,18.0948,39.4452,ok
Diamond Princess,9,0.5871,1.5033,58.709,14.2885,39.6924,ok
Summer Olympics 2020,9,0.8582,2.3148,85.8233,14.2885,39.7241,ok
Ethiopia,9,4.8809,7.3642,183.5499,12.4054,40.907,poor
Iran,9,210.0774,294.4736,40.2016,33.8385,43.5573,poor
Philippines,9,68.1288,79.9025,56.3113,43.8579,43.8768,poor
Lithuania,9,89.8003,131.6263,3941.2754,16.9396,45.0646,poor
Saudi Arabia,9,24.1748,33.9246,728.4594,10.7139,45.1454,poor
Serbia,9,318.6942,503.1051,8327.8519,19.9776,46.5921,poor
Guatemala,9,51.0067,62.2375,171.9624,28.6679,48.7919,poor
UAE,9,47.4908,52.845,1088.1937,26.2991,49.7438,poor
Slovakia,9,102.246,118.0297,97.4236,40.6368,51.5028,poor
Gambia,9,1.5091,4.0086,29.0174,1.5336,55.7533,poor
Poland,9,1187.3738,1305.4043,114.6439,30.1878,56.3512,poor
Azerbaijan,9,16.2981,18.4075,119.9018,32.0816,58.3213,poor
France,9,1340.4592,1519.8416,29657.5603,26.1495,63.9945,poor
Afghanistan,9,10.065,12.1969,358.1085,54.39,67.7488,poor
Denmark,9,69.2187,94.6607,1814.8776,45.8786,68.4936,poor
Mali,9,2.8276,3.862,96.5764,54.7365,68.7772,poor
Latvia,9,12.7127,15.587,391.746,35.1822,68.9983,poor
Bulgaria,9,61.5186,89.8469,819.5756,45.4496,70.1061,poor
South Africa,9,163.8855,221.1474,5033.649,28.9883,70.1762,poor
Pakistan,9,24.9672,33.5694,696.222,34.6669,73.656,poor
USA,9,19161.0442,20762.0302,133898.1899,49.069,74.627,poor
Comoros,9,1.1076,2.0339,40.441,34.5178,74.7384,poor
Grenada,9,0.3807,0.4308,38.067,27.3003,76.134,poor
Nauru,9,0.5483,0.8947,54.8258,19.4222,77.4608,poor
Bahrain,9,200.5015,236.9831,1796.5804,54.078,78.2925,poor
Palau,9,0.5439,0.7192,50.1104,29.2308,81.8316,poor
Israel,9,362.1733,521.6477,10437.3715,53.1638,82.7963,poor
Germany,9,6485.3521,8857.0885,413774.4897,30.793,85.0097,poor
South Sudan,9,0.4268,0.4901,42.6824,31.8717,85.3648,poor
Qatar,9,66.7768,78.2446,1285.4977,58.0082,89.4906,poor
Guinea-Bissau,9,1.1454,2.3484,49.3569,36.1217,89.6039,poor
Cuba,9,10.2885,13.8572,301.3102,159.9202,94.2292,poor
Chad,9,0.6622,0.9513,66.217,34.6052,98.7767,poor
Côte d'Ivoire,9,5.9563,7.6046,250.5618,77.6977,103.9619,poor
Kiribati,9,0.7529,1.0077,75.2938,50.1031,105.2714,poor
Algeria,9,11.8503,17.021,409.8421,247.3458,111.4409,poor
Tajikistan,9,0.6366,0.77,63.6572,50.6202,111.4674,poor
Lebanon,9,94.8762,106.7892,5504.3198,67.2897,113.4514,poor
Tuvalu,9,3.3415,7.4237,334.1533,42.9873,115.3382,poor
Saint Kitts and Nevis,9,0.6775,0.7955,67.7519,45.4603,123.2738,poor
Benin,9,0.9537,1.1632,86.0082,63.1684,127.5605,poor
Liberia,9,2.035,4.1967,77.1881,85.0345,127.6231,poor
Burma,9,11.7412,17.0089,735.4278,429.2694,133.8524,poor
Morocco,9,52.7516,99.6092,4744.6214,449.4476,135.261,poor
Peru,9,458.4634,671.4846,19008.9904,144.2588,135.4449,poor
Ukraine,9,2408.7737,3995.7031,526.8503,403.1542,137.5117,poor
Albania,9,12.1908,14.5366,874.1478,385.1465,137.7683,poor
Venezuela,9,23.4583,28.1935,750.0257,220.7234,138.4208,poor
Burkina Faso,9,1.6438,2.2973,164.3833,77.1148,140.867,poor
Mauritania,9,1.0622,1.2706,106.2232,84.2339,143.7564,poor
Bhutan,9,1.5485,2.0068,84.1189,65.6864,145.1997,poor
Mexico,9,3791.3004,4718.4049,66447.0922,96.9041,147.0016,poor
Congo,9,2.1763,3.4302,133.9041,83.7215,147.7368,poor
Marshall Islands,9,5.963,11.7168,75.1929,89.9474,149.0089,poor
Nepal,9,6.4806,8.5247,634.406,357.0847,149.5851,poor
Somalia,9,1.4146,2.1859,141.459,76.6141,150.2781,poor
Solomon Islands,9,1.4668,2.1334,146.6833,70.1979,151.3982,poor
Nicaragua,9,3.4132,6.0037,83.0894,83.1183,154.7829,poor
Kyrgyzstan,9,10.2741,16.0012,944.0461,604.5099,157.9086,poor
Lao People's Democratic Republic,9,11.1528,16.7878,737.9416,250.2876,158.7755,poor
Brazil,9,5521.363,6096.1728,501450.6667,629961.1357,158.9205,poor
Sri Lanka,9,10.3892,13.4184,852.896,797.7449,158.9517,poor
Estonia,9,21.1519,29.1164,852.9076,715.1399,159.468,poor
Vietnam,9,134.3264,172.7044,3508.2011,1754.6512,159.4931,poor
Senegal,9,2.3245,3.198,212.4844,110.9933,159.6843,poor
Zimbabwe,9,17.2885,23.6992,857.975,574.2504,160.4856,poor
Kenya,9,13.1815,21.5837,992.995,389.7757,160.8501,poor
Togo,9,3.1397,3.5886,173.1507,150.021,160.9347,poor
Netherlands,9,236.4793,286.9064,13603.5046,9228.3728,161.6213,poor
