country,samples,mae,rmse,mape_pct,median_ape_pct,smape_pct,status
Chile,36,675.3086,907.5424,29.5698,29.942,35.5538,ok
Serbia,36,674.4253,740.6504,7846.3019,73.4968,70.0255,poor
Poland,36,1133.6397,1395.4117,150.5532,57.0196,76.3363,poor
Czechia,36,677.8079,807.0501,396.8569,54.5271,76.3909,poor
Israel,36,868.1407,923.9599,8356.3948,199.5517,109.4188,poor
Austria,36,3710.3721,4093.6807,5346.4605,73.9931,119.6602,poor
Slovenia,36,915.0092,945.2136,618.0711,354.7603,128.9041,poor
Lithuania,36,916.9254,931.9282,4720.2291,277.8237,129.9424,poor
Malaysia,36,961.369,982.6961,464.3653,455.5855,136.8898,poor
Guatemala,36,1072.5928,1095.4653,5608.1967,293.387,137.2181,poor
Lebanon,36,835.503,1029.5799,44086.7027,999.6937,140.1019,poor
France,36,3021.6971,3701.7779,21369.3089,75.8828,142.3925,poor
Peru,36,1028.0259,1135.5219,36759.0108,653.9392,143.3994,poor
Iran,36,1090.1137,1146.7504,8612.3679,777.1354,143.653,poor
Bolivia,36,886.63,954.3134,11658.0987,613.3378,143.9367,poor
Indonesia,36,1166.0395,1168.2203,570.0383,550.0054,145.6314,poor
India,36,1040.4382,1065.6919,4551.5906,692.5568,148.6342,poor
USA,36,35592.4284,47675.2377,3960.8399,96.9784,151.3558,poor
Slovakia,36,1178.4353,1190.5858,1402.164,684.2574,153.2906,poor
UAE,36,843.7344,878.3269,9088.3468,774.478,155.1576,poor
South Africa,36,594.4563,727.9671,23592.4787,6736.4944,156.1641,poor
Russia,36,10448.2214,10657.0076,87.7954,88.5633,156.6446,poor
Qatar,36,654.9013,781.6587,22232.6103,1438.1866,156.8485,poor
Montenegro,36,901.853,978.635,15065.2442,1550.0708,159.3197,poor
Denmark,36,931.1496,1068.7052,25666.9533,931.6058,159.3927,poor
Bahrain,36,598.1572,868.6143,15438.0378,13065.7406,160.5486,poor
S. Korea,36,10096.0201,11069.2778,11726.4601,88.7309,161.2422,poor
Zambia,36,538.2256,744.0426,33432.5963,13165.0498,162.5401,poor
Japan,36,18320.7214,21750.2939,89.8,90.6941,164.1721,poor
Singapore,36,718.9312,1331.8251,17825.2391,13131.754,164.5429,poor
Ukraine,36,1645.8653,2236.2825,1217.6777,1182.5526,167.0156,poor
Philippines,36,1236.6296,1256.5226,9375.4891,1033.0928,168.4448,poor
Pakistan,36,716.3779,848.2771,21071.7918,5236.5881,169.7089,poor
Mexico,36,3069.9833,4679.0102,41470.5273,157.6492,171.1829,poor
Tunisia,36,293.2511,531.8808,28951.6897,13131.754,174.7146,poor
Malta,36,270.9736,480.2303,26728.5565,13131.754,175.5185,poor
Uzbekistan,36,479.45,647.0246,26606.2816,13165.0498,176.2557,poor
Luxembourg,36,579.6891,760.5218,26065.8075,13131.754,176.2679,poor
Bulgaria,36,1161.1555,1205.3018,10498.1645,2720.4658,177.3774,poor
Dominican Republic,36,314.5106,481.7874,27320.5766,13131.754,177.8406,poor
Latvia,36,879.3931,1015.2912,21650.1867,4364.452,177.9588,poor
Brazil,36,6671.8804,9890.1541,35486.6542,99.3755,178.4945,poor
Saudi Arabia,36,1248.9879,1274.1647,6202.8252,2289.0834,178.7591,poor
Iceland,36,263.519,452.5823,25648.3599,13131.754,179.1823,poor
Thailand,36,305.0005,534.2941,29001.5683,13210.6158,179.4472,poor
Honduras,36,315.1746,514.7315,28865.0214,13165.0498,179.5518,poor
Jamaica,36,295.62,523.8384,25492.5637,13131.754,180.3004,poor
Germany,36,12079.1492,15028.0288,27675.8441,94.5006,181.9088,poor
Botswana,36,256.9863,424.3771,24603.49,13131.754,181.9956,poor
